MasterCode,City,LoadCapacity,UnloadCapacity,Stock,Capacity,latitude,longitude
TURDLV   H,"TUERKEI, HAFEN EFESAN, DILOVAS",6,3,0,500,40.7756061,29.5260959
AUTHIT001,Hall in Tirol - GebrÃ¼der Weiss,2,8,0,500,47.27467,11.4745
GRCGR    K,"GRIECHENLAND, PIRAEUS",1,5,0,500,37.9431594,23.6470593
LUXHOW001,Howald - Losch,8,4,0,500,49.57698,6.13016
NLDVLI001,Vlissingen - Kloosterboer,6,3,0,500,51.47588,3.70995
ARMEVN001,Eriwan - Slav Motors,5,8,0,500,4.536307,-75.6723751
AZEMQ    K,"ASERBAIDSCHAN, BAKU",2,10,0,500,40.3755885,49.8328009
BELANR001,Antwerpen - ICO,8,3,0,500,51.26818,4.22741
BELZEE001,ZeebrÃ¼gge - WWL,7,3,0,500,51.31563,3.23388
BELZEE002,ZeebrÃ¼gge - ICO Northern Inlet,9,10,0,500,51.3288072,3.21775198675609
BIHSJJ001,Sarajevo - ASA SPED,1,7,0,500,43.87625,18.30659
BLRMSQ001,Minsk - Atlant-M (Volkswagen),5,4,0,500,53.88127,27.43272
BLRMSQ002,Minsk - Autohaus AV (Audi),4,6,0,500,53.84332,27.54289
CIVFA    K,"COTE D`IVOIRE, ABIDJAN",7,2,0,500,5.320357,-4.016107
CYPEY    K,"ZYPERN-SUED, NICOSIA",6,5,0,500,35.1746503,33.3638783
CYPEZ    K,"ZYPERN-NORD, LEFKOSA",2,6,0,500,35.08302875,33.9019026886703
DNKRNG001,Ringsted - Dansk Auto Logik,4,9,0,500,55.43573,11.81151
ECUKJ    K,"ECUADOR, QUITO",8,4,0,500,-0.2201641,-78.5123274
EGYAG    K,"AEGYPTEN, ALEXANDRIA",4,9,0,500,31.1991806,29.8951716
FINFJ    K,"FINNLAND, HELSINKI",4,10,0,500,60.1674881,24.9427473
FRALAU001,Lauterbourg - Walon France,2,3,0,500,48.96319,8.18347
FRALME001,"FRANCE, LE MANS",3,7,0,500,48.0073849,0.1967849
GABFD    K,"GABUN, LIBREVILLE",1,2,0,500,0.4086518,9.4418849
GEODB    K,"GEORGIEN, TIFLIS",2,4,0,500,41.6934591,44.8014495
HUNTSB001,Tuzser - Vakert,7,2,0,500,48.33851,22.13468
ISLJS    K,"ISLAND, REYKJAVIK",6,2,0,500,64.136637,-21.876262
ISRJL    K,ISRAEL,4,3,0,500,32.6307267,35.3488686
LBNLJ    K,"LIBANON, BEIRUT",10,8,0,500,33.8959203,35.47843
LVARIX001,Riga - Kurbads,8,4,0,500,56.939,24.19093
NLDRTM002,Rotterdam - Broekman,7,2,0,500,51.89056,4.2379
SENBT    K,"SENEGAL, DAKAR",2,8,0,500,14.693425,-17.447938
TUNTU    K,"TUNESIEN, TUNIS CEDEX",3,3,0,500,36.8002068,10.1857757
UKRUHH001,Uzhhorod (Solomonovo) - Eurocar,3,5,0,500,48.61824,22.28939
AZEBAK   K,"ASERBAIDSCHAN, BAKU (BENTLEY)",2,3,0,500,40.3755885,49.8328009
ECUKL    K,"ECUADOR, MANTA",2,5,0,500,-0.9482874,-80.7197902
ESPAAI001,"SPANIEN, ARAIA",8,4,0,500,41.8261552,-1.2440052
ESPAW    K,VW NAVARRA; EIGENBEDARF,4,8,0,500,42.8181992,-1.6440089
ESPCPZ001,Ciempozuelos - Berge Gefco,7,2,0,500,40.16505,-3.62645
ESPEV    K,"SPAIN, CAR POOL",4,3,0,500,41.3828939,2.1774322
ESPEW    K,"SPAIN, SIN DESTINO",5,8,0,500,40.091214,-3.459133
ESPYE    K,"SPANIEN, PAMPLONA",7,2,0,500,42.8181992,-1.6440089
FJISF    K,"FIDSCHI, SUVA",8,5,0,500,-18.1415884,178.4421662
FRARIV001,Rivesaltes - Walon France,2,4,0,500,42.79603,2.88144
IRLDUB   H,"IRLAND, HAFEN DUBLIN",8,4,0,500,53.3493795,-6.2605593
ITA7240  H,SAVONA MARITTIMA,10,10,0,500,44.3080251,8.4810315
JPN4890  H,TOYOHASHI PORT,10,8,0,500,34.769123,137.391461
JPNTOY   K,TOYOHASHI PORT BENTLEY,3,9,0,500,34.769123,137.391461
PRISJU   K,"PUERTO RICO, SAN JUAN (PORSCHE",2,2,0,500,18.46633,-66.10572
TUR6070  H,"TUERKEI, HAFEN DERINCE",2,4,0,500,40.757461,29.8307537
TWNNTC   H,"TAIWAN, NEW TAIPEI CITY (TAIPE",9,1,0,500,25.0375198,121.5636796
UKRKIE   K,"UKRAINE, KYIV (BENTLEY)",1,2,0,500,50.4500336,30.5241361
RUSGG    K,"RUSSLAND, KALUGA",6,6,0,500,54.5101087,36.2598115
RUSHR    K,"RUSSLAND, ST. PETERSBURG",7,7,0,500,59.938732,30.316229
ESPYA    K,"SPAIN, CANARIAS",7,8,0,500,27.856546,-15.403732
ESPYB    K,"SPANIEN, KANAR. INSELN, TENERI",7,8,0,500,28.2935785,-16.6214471211441
GLPLG    K,GUADELOUPE; SEAT,3,9,0,500,16.0000778,-61.7333373
GRCDP    K,"GRIECHENLAND, ATHEN; SEAT",6,6,0,500,37.9755648,23.7348324
MTQYM    K,MARTINIQUE; SEAT,8,2,0,500,14.6113732,-60.9620777
MDAKIV001,Chisinau - Rumeon,7,10,0,500,47.0242,28.83184
TKMAGT001,Ashgabat - Skoda,1,1,0,500,37.95033,58.39012
SURZP    K,SURINAME; VW,5,1,0,500,37.9110723,40.2366499
BELANR002,Antwerpen - Euroterminal (Ford),4,5,0,500,51.30127,4.25071
BRASUA001,"BRASILIEN, SUAPE",5,8,0,500,-8.3539067,-34.9567358
ALBDY    K,"ALBANIEN, DURRES",2,6,0,500,41.313255,19.4462348
ARGAR    K,"ARGENTINIEN, BUENOS AIRES",10,9,0,500,-34.6075682,-58.4370894
BGDBQ    K,"BANGLADESCH, CHITTAGONG",10,8,0,500,22.333778,91.8344348
BRAVI    K,"BRASILIEN, VITORIA",7,1,0,500,-20.3200917,-40.3376682
BRAVIX   H,VITORIA HAFEN,3,5,0,500,-20.3200917,-40.3376682
GHATEM001,TEMA,2,7,0,500,5.6596441,-0.0096592
NPLNE    K,"NEPAL, MORANG",3,3,0,500,26.6686397,87.3851784
PAKKI    K,"PAKISTAN, KARACHI",9,5,0,500,24.8546842,67.0207055
PRYPG    K,PARAGUAY,3,4,0,500,-25.2800459,-57.6343814
URY3180  H,"URUGUAY, HAFEN MONTEVIDEO",2,6,0,500,-34.9058916,-56.1913095
URYVR    K,"URUGUAY, MONTEVIDEO",5,9,0,500,-34.9058916,-56.1913095
CRIWF    K,"COSTA RICA, PUERTO LIMON",4,4,0,500,9.9963486,-83.0551808
FRATAR001,Tarnos - Walon France,6,6,0,500,43.53452,-1.49842
UZBTAS001,Taschkent - Jizzakh,5,4,0,500,41.3653842,69.2860659
FIN6060  H,HELSINKI,2,7,0,500,60.1674881,24.9427473
LVALI    H,"HAFEN LIPAJA, LETTLAND",6,2,0,500,56.5048435,21.0070903
ALBTIA001,Tirana - Porsche Albania,2,4,0,500,41.350945,19.757962
BGRHH    K,"BULGARIEN, SOFIA; AUTOTECHNICA",5,1,0,500,42.6977028,23.3217359
CZEPRG001,Prag - Importeur,2,5,0,500,50.0481755,14.3581273
SRBBEG001,Belgrad - Autocacak,9,8,0,500,44.8112,20.4127
AREJE    K,JEBEL ALI,4,4,0,500,24.9931,55.07
CHEAHF001,Altishofen - Galliker (Porsche),10,9,0,500,47.20052,7.973
CHNCK    K,"CHINA, CHONGQING",9,8,0,500,29.5656729,106.5479189
DOMQZ    K,"DOMINIKANISCHE REPUBLIK, RIO H",7,2,0,500,46.1160556,8.291248
ISRASH   K,ASHDOD (PORSCHE),10,10,0,500,31.7977314,34.6529922
ITACDT001,Castiglione - Bertani,2,10,0,500,45.39213,10.47823
MLTMX    K,MALTA; MARSAXLOKK,7,1,0,500,35.8417662,14.5448353
FRAVCT001,Villers-Cotterets - CAT,6,10,0,500,49.24403,3.09662
CHNCE    K,CHINA VR; FAW; CKD/SKD (AUDI +,5,3,0,500,32.529746,106.804852
CHNCZ    K,CHINA VR; SVW SHANGHAI VW AUTO,1,9,0,500,31.2323437,121.4691024
ESPPGQ001,Palau - Sese,1,5,0,500,41.57948,2.17818
FRAWV9001,Wavrin - CAT,3,1,0,500,50.55636,2.93585
HUNCK    K,"UNGARN, BUDAOERS",7,4,0,500,47.4600185,18.9541818
MEXMS    K,"VW DE MEXIKO ""DIREKTVERKAEUFE""",9,5,0,500,19.4839446,-99.6899716
PRTAK    K,"AUTOEUROPA, TEST VEHICLES",9,10,0,500,41.1494512,-8.6107884
PSEBK    K,OCCUPIED PALESTINIAN TERRITORY,10,2,0,500,32.132392,35.262925
SVKPJ    K,"SLOWAKEI, INLANDSPRODUKTION",2,3,0,500,48.752408,19.201811
USACHA001,"USA, CHATTANOOGA, TN",5,10,0,500,35.0457219,-85.3094883
CHNCP    K,"CHINA, CHENGDU (BAHN)",1,5,0,500,30.6598628,104.0633717
ESPYJ    K,"SPAIN, RACS",6,2,0,500,40.091214,-3.459133
