,CODE,Stock,Capacity,LoadCapacity,UnloadCapacity,Capacity_Flag,Stock_Flag,latitude,longitude
300,Almacen 300,0.0,0.0,500.0,500.0,M,M,38.29217486776409,2.408415712642956
301,Almacen 301,587.0,0.0,500.0,500.0,M,V,40.43111507910508,4.069353227609438
302,Almacen 302,308.0,0.0,500.0,500.0,M,V,36.09004879586718,-8.701007349455894
303,Almacen 303,91.0,0.0,500.0,500.0,M,V,39.16091856207867,-0.7751082878626452
304,Almacen 304,1486.0,1635.0,500.0,88.0,H,H,37.05287243238536,1.3529994899181297
305,Almacen 305,38263.0,103288.0,500.0,706.0,H,V,37.875814496067655,-7.405916811555811
306,Almacen 306,14320.0,32932.0,500.0,271.0,H,V,37.569674338915796,-4.012072577989998
307,Almacen 307,369.0,406.0,500.0,76.0,H,H,42.24981431559118,-5.610977421277308
308,Almacen 308,5693.0,2304.0,500.0,115.0,H,V,42.65621116186466,-2.418477235113567
309,Almacen 309,1.0,2.0,500.0,1.0,H,H,37.69343479180701,1.820986866938295
310,Almacen 310,0.0,0.0,500.0,500.0,M,M,36.68635199467943,-8.461611307018114
311,Almacen 311,149.0,164.0,500.0,149.0,H,H,37.085674972998376,-8.728802983458024
312,Almacen 312,11.0,13.0,500.0,2.0,H,H,40.54973292550456,-6.378524443052749
313,Almacen 313,1502.0,0.0,500.0,500.0,M,V,36.24906781374851,2.255002721866612
314,Almacen 314,6818.0,7500.0,500.0,794.0,H,H,36.19600735847728,-4.606676515284338
315,Almacen 315,7.0,0.0,500.0,500.0,M,V,43.02173933091168,-2.652313556906644
316,Almacen 316,2144.0,0.0,500.0,500.0,M,V,41.406832329018265,-4.651363128028514
317,Almacen 317,4108.0,6.0,500.0,2.0,H,V,43.555113931248975,1.1357346411010827
318,Almacen 318,27166.0,0.0,500.0,500.0,M,V,43.445599140171616,1.3742184433852742
319,Almacen 319,135.0,149.0,500.0,8.0,H,H,40.483761107656036,-0.45549173560341316
320,Almacen 320,4.0,5.0,500.0,4.0,H,V,39.75405819811999,-2.318470843752168
321,Almacen 321,764.0,0.0,500.0,500.0,M,V,41.912153557939966,-4.734707566875862
322,Almacen 322,6.0,7.0,500.0,3.0,H,H,41.54825962287776,2.49036638472187
323,Almacen 323,2156.0,0.0,500.0,500.0,M,V,39.37536620907508,-8.831748237313475
324,Almacen 324,1704.0,0.0,500.0,500.0,M,V,37.433427512410844,-2.9447082406092697
325,Almacen 325,278.0,0.0,500.0,500.0,M,V,41.07750656541193,-3.5094140739004738
326,Almacen 326,2290.0,0.0,500.0,500.0,M,V,42.28235426477825,-8.111122187687718
327,Almacen 327,525861.0,0.0,500.0,500.0,M,V,40.170857849034796,-4.948986494820697
328,Almacen 328,2168.0,0.0,500.0,500.0,M,V,37.548011185580854,-2.294537543283515
329,Almacen 329,470.0,0.0,500.0,500.0,M,V,39.72036324417202,-1.115362452399772
330,Almacen 330,350.0,0.0,500.0,500.0,M,V,37.24865496732074,-2.81065524663539
331,Almacen 331,22214.0,20552.0,500.0,1295.0,H,V,38.6945115229287,-8.150509137447695
332,Almacen 332,27168.0,21006.0,500.0,1218.0,H,V,42.82184454062719,3.3224573572601237
333,Almacen 333,24544.0,16393.0,500.0,1187.0,H,V,38.62923438042724,-5.7085055778729625
334,Almacen 334,301.0,0.0,500.0,500.0,M,V,41.459301513761524,-7.479292582978567
335,Almacen 335,3221.0,0.0,500.0,500.0,M,V,42.09820426150715,-2.258076723175579
336,Almacen 336,1597.0,0.0,500.0,500.0,M,V,42.81731554560003,1.9989459488157326
337,Almacen 337,3240.0,0.0,500.0,500.0,M,V,37.962736791776834,2.4939876763752746
338,Almacen 338,8474.0,9322.0,500.0,731.0,H,H,41.36206481264577,-2.9387706065544466
339,Almacen 339,313.0,345.0,500.0,293.0,H,H,38.855721660086736,-1.2511123704833285
340,Almacen 340,1244.0,0.0,500.0,500.0,M,V,43.56212678361876,-6.625259999770514
341,Almacen 341,5471.0,6019.0,500.0,622.0,H,H,41.550530137149096,-1.802507408726969
342,Almacen 342,808.0,0.0,500.0,500.0,M,V,36.4273131411499,-3.945174615049181
343,Almacen 343,109.0,0.0,500.0,500.0,M,V,40.1136683229864,-7.2116007679996335
344,Almacen 344,0.0,0.0,500.0,500.0,M,M,40.54258147357499,-4.889663205925987
345,Almacen 345,575.0,0.0,500.0,500.0,M,V,39.82880090167059,-3.5763606638853016
346,Almacen 346,0.0,0.0,500.0,500.0,M,M,37.10026173159676,3.527923473330949
347,Almacen 347,3010.0,0.0,500.0,500.0,M,V,43.55846084713281,-7.836057148414649
348,Almacen 348,1405.0,0.0,500.0,500.0,M,V,37.21192044423255,-1.768356084486772
349,Almacen 349,0.0,0.0,500.0,500.0,M,M,43.32474609821058,-8.640952983272133
350,Almacen 350,52.0,58.0,500.0,12.0,H,H,42.99522888473967,2.2641874343373534
351,Almacen 351,99.0,109.0,500.0,99.0,H,H,40.03698094524959,-7.048628160814649
352,Almacen 352,0.0,0.0,500.0,500.0,M,M,36.10524157593997,-2.2799356726124262
353,Almacen 353,1.0,2.0,500.0,1.0,H,H,38.5418834801849,-2.937282768945092
354,Almacen 354,617.0,11.0,500.0,6.0,H,V,36.22537985599821,1.1058780023384216
355,Almacen 355,3.0,725.0,500.0,188.0,H,V,43.08692132395162,0.7189758178926553
356,Almacen 356,2831.0,574.0,500.0,187.0,H,V,37.626109017676676,-3.2029840544899573
357,Almacen 357,0.0,0.0,500.0,500.0,M,M,41.267086543214674,2.1396888913216188
358,Almacen 358,0.0,0.0,500.0,500.0,M,M,40.95067894187545,-7.863844890368685
359,Almacen 359,639.0,704.0,500.0,42.0,H,V,43.56933866604922,-1.167071271144179
360,Almacen 360,8.0,9.0,500.0,5.0,H,H,37.58386752147692,-1.3486000011358907
361,Almacen 361,43.0,75.0,500.0,23.0,H,V,36.61175606250646,-2.813100770052894
362,Almacen 362,0.0,0.0,500.0,500.0,M,M,41.19633890349184,-3.7330655982785688
363,Almacen 363,0.0,0.0,500.0,500.0,M,M,37.918738923406494,-5.110171803744151
364,Almacen 364,41.0,48.0,500.0,14.0,H,V,42.30943939914884,-3.923991890044322
365,Almacen 365,0.0,0.0,500.0,500.0,M,M,40.94899381400923,-4.392578313310406
366,Almacen 366,3.0,4.0,500.0,2.0,H,V,38.595683214852095,-4.445943362199005
367,Almacen 367,1562.0,2115.0,500.0,180.0,H,V,42.48179500701356,-6.787007963145792
368,Almacen 368,61.0,68.0,500.0,30.0,H,H,40.81964716967033,-5.110151433133478
369,Almacen 369,77.0,85.0,500.0,29.0,H,H,37.20348295102749,4.101427907720099
370,Almacen 370,18.0,20.0,500.0,7.0,H,H,42.32282086912433,-4.0405371234724745
371,Almacen 371,129.0,104.0,500.0,46.0,H,V,38.545125801798,-2.173064916694666
372,Almacen 372,11702.0,7825.0,500.0,120.0,H,V,39.3959063343876,-8.457449616970997
373,Almacen 373,7034.0,4779.0,500.0,111.0,H,V,42.011709006305864,1.6942447574617692
374,Almacen 374,6053.0,4596.0,500.0,73.0,H,V,42.844828385330466,3.609431235039361
375,Almacen 375,6022.0,3394.0,500.0,66.0,H,V,41.051717865662084,1.8873064349927606
376,Almacen 376,34702.0,27365.0,500.0,486.0,H,V,38.314888372608614,-3.012721713907518
377,Almacen 377,7682.0,5868.0,500.0,82.0,H,V,36.938021452101744,-7.799016702660188
378,Almacen 378,13783.0,5763.0,500.0,98.0,H,V,39.533352618971406,0.5233885606490816
379,Almacen 379,7124.0,6887.0,500.0,170.0,H,V,37.162370158310054,-6.917152436158486
380,Almacen 380,8807.0,8027.0,500.0,132.0,H,V,41.40837279262418,-5.16091485971487
381,Almacen 381,0.0,210.0,190.0,500.0,H,M,40.17063907224958,-8.263324423881892
382,Almacen 382,4637.0,5101.0,500.0,40.0,H,H,38.119977414935796,3.4895361965555036
383,Almacen 383,55.0,2222.0,7.0,114.0,V,V,39.78920239999479,0.49289631816598245
384,Almacen 384,464.0,2222.0,14.0,158.0,V,V,42.167456040313965,-8.441512715322162
385,Almacen 385,162.0,2767.0,116.0,254.0,H,H,42.30571134513603,1.4138605256441803
386,Almacen 386,5120.0,5632.0,500.0,228.0,H,H,40.17595356238055,-5.329817446175058
387,Almacen 387,1766.0,2222.0,177.0,456.0,V,V,40.813723358913876,1.7682999863649584
388,Almacen 388,948.0,1043.0,500.0,162.0,H,H,41.94378023648733,-7.878036612168783
389,Almacen 389,1990.0,2189.0,500.0,370.0,H,H,40.28122423444649,-3.7749455669789826
390,Almacen 390,615.0,677.0,2.0,26.0,H,H,37.34524104149378,1.9253881533086759
391,Almacen 391,10.0,2222.0,8.0,11.0,V,V,42.871541228319614,0.021600698128079188
392,Almacen 392,546.0,601.0,500.0,150.0,H,H,42.01725094070712,-6.584121844239561
393,Almacen 393,3.0,4.0,500.0,3.0,H,H,39.27534604733078,-8.321848898873464
394,Almacen 394,764.0,841.0,500.0,120.0,H,H,39.518651987009356,-9.128297111866374
395,Almacen 395,452.0,498.0,500.0,222.0,H,H,42.17759172591044,4.005079519553865
396,Almacen 396,3166.0,3483.0,500.0,474.0,H,H,37.69352473340892,-2.69813242493077
397,Almacen 397,789.0,2222.0,101.0,232.0,V,V,40.22632904730837,-8.945046931437671
398,Almacen 398,69.0,2222.0,176.0,260.0,V,V,36.46092400998431,-0.3233950633324856
399,Almacen 399,1548.0,2222.0,395.0,362.0,V,V,40.86095780401965,0.43430279789631143
400,Almacen 400,7194.0,7914.0,500.0,432.0,H,H,42.13249056996894,4.1803286396697406
401,Almacen 401,2.0,0.0,500.0,500.0,M,V,37.342760785910464,-5.769135046780953
402,Almacen 402,1.0,0.0,500.0,500.0,M,V,42.84530776354731,-8.941547440010208
403,Almacen 403,0.0,1044.0,507.0,500.0,H,M,43.279285251546675,-3.841074445141195
404,Almacen 404,2.0,0.0,500.0,500.0,M,V,41.08485320505101,-2.290755712277786
405,Almacen 405,0.0,992.0,81.0,157.0,H,M,36.47074113703007,3.9026943335993387
406,Almacen 406,1.0,2222.0,178.0,208.0,V,V,42.35847776996526,-2.366412822297094
407,Almacen 407,1062.0,1169.0,500.0,83.0,H,H,40.13690503521694,-4.48652969218909
408,Almacen 408,340.0,2222.0,288.0,316.0,V,V,42.90837734843397,-3.1217527060967374
409,Almacen 409,1.0,2222.0,500.0,278.0,V,V,41.73222895958928,-4.629350134429302
410,Almacen 410,537.0,2222.0,451.0,372.0,V,V,38.41766554993001,-2.910939892676031
411,Almacen 411,4.0,2222.0,238.0,258.0,V,V,41.96667722603893,-8.30090771367625
412,Almacen 412,1555.0,1711.0,500.0,126.0,H,H,42.51451513767655,2.1635451978800866
413,Almacen 413,914.0,1006.0,500.0,110.0,H,H,41.961531652963174,-0.5614749871376468
414,Almacen 414,1322.0,1455.0,500.0,188.0,H,H,42.504903966073634,-1.310313705128932
415,Almacen 415,1428.0,1571.0,500.0,324.0,H,H,36.14068324557623,3.78029073940672
416,Almacen 416,10.0,2222.0,174.0,183.0,V,V,38.57246439754452,-0.6188593344599571
417,Almacen 417,9.0,10.0,500.0,6.0,H,H,42.857311938677434,3.7832717817097894
418,Almacen 418,3103.0,3414.0,500.0,720.0,H,H,40.723921128428685,-7.673654314705571
419,Almacen 419,880.0,2222.0,406.0,370.0,V,V,39.33091385471143,0.17496153245003576
420,Almacen 420,551.0,607.0,500.0,143.0,H,H,41.95385071673419,3.4671747704596125
421,Almacen 421,0.0,2.0,1.0,500.0,H,M,36.265077214007405,-1.273676790701236
422,Almacen 422,0.0,26.0,5.0,500.0,H,M,40.49846336097437,-4.496680618854119
423,Almacen 423,-32.0,80.0,3.0,5.0,H,V,39.707956141453955,-0.11355065924378138
424,Almacen 424,0.0,1445.0,78.0,500.0,H,M,41.309782638648834,-8.708816487329578
425,Almacen 425,12034.0,13238.0,500.0,176.0,H,H,38.57996236539208,-1.1498366051626032
426,Almacen 426,7667.0,2.0,500.0,1.0,H,V,38.630844563178634,-5.550578131839973
427,Almacen 427,253.0,279.0,500.0,17.0,H,H,37.32891959948303,-7.822432573076335
428,Almacen 428,428.0,0.0,500.0,500.0,M,V,40.93630407033706,-2.7260366138270973
429,Almacen 429,73.0,81.0,500.0,7.0,H,H,40.51404111463185,-0.07803232839279062
430,Almacen 430,954.0,0.0,500.0,500.0,M,V,43.455376146776786,4.060231686295129
431,Almacen 431,2.0,0.0,500.0,500.0,M,V,41.41952657022824,-0.14836526696921126
432,Almacen 432,1178.0,2222.0,500.0,542.0,V,V,40.39584782099418,0.25337248553702985
433,Almacen 433,3033.0,4000.0,3324.0,518.0,V,V,40.96271994691881,-1.7541036818978366
434,Almacen 434,4776.0,6030.0,6076.0,436.0,V,V,36.9037630756207,2.542577854947041
435,Almacen 435,76.0,0.0,500.0,500.0,M,V,36.94628368346333,0.41254706925826135
436,Almacen 436,475.0,0.0,500.0,500.0,M,V,36.294632998558605,-7.948373198615787
437,Almacen 437,3.0,2.0,500.0,1.0,H,V,41.78950893233046,-1.7194885987397974
438,Almacen 438,0.0,0.0,500.0,500.0,M,M,40.58726923874473,0.025180299748711832
439,Almacen 439,356.0,392.0,500.0,7.0,H,H,38.20371764573105,0.8470255912714642
440,Almacen 440,31.0,0.0,500.0,500.0,M,V,39.739780360694276,2.977207707417854
441,Almacen 441,1.0,2.0,500.0,1.0,H,H,37.90845587437075,-5.492184424849702
442,Almacen 442,-202.0,436.0,110.0,40.0,H,V,37.88221673177159,-1.4600985023932918
443,Almacen 443,2.0,22831.0,1.0,252.0,H,V,36.87871029839519,1.0341233919613586
444,Almacen 444,277.0,305.0,500.0,9.0,H,H,40.610974939956925,-1.0968159205570558
445,Almacen 445,24650.0,27116.0,1.0,818.0,H,H,40.97390755364088,-6.078792760872415
446,Almacen 446,80.0,88.0,500.0,26.0,H,H,37.087093610560736,0.5850910487936503
447,Almacen 447,36.0,40.0,500.0,14.0,H,H,41.83405747458405,-0.42279217333439867
448,Almacen 448,15.0,17.0,500.0,3.0,H,H,42.489742526442875,-8.373447765332177
449,Almacen 449,17980.0,19778.0,2.0,270.0,H,H,36.94318329129188,-6.5957026711178965
450,Almacen 450,0.0,2000.0,500.0,500.0,V,M,38.74042785795692,-7.967382292516433
451,Almacen 451,1.0,2.0,500.0,1.0,H,H,39.11918228724097,-4.975498491473433
452,Almacen 452,303.0,334.0,500.0,20.0,H,H,38.350077370610464,-1.6189805032862168
453,Almacen 453,1674.0,1842.0,500.0,149.0,H,H,38.97570881411684,-1.3835274549520244
454,Almacen 454,7.0,8.0,500.0,7.0,H,H,42.05308811542687,0.5702904395146149
455,Almacen 455,1.0,2.0,500.0,1.0,H,H,42.01178748058394,-0.17394914863262834
456,Almacen 456,0.0,1201.0,699.0,500.0,H,M,36.95391487484485,2.0244023849683366
457,Almacen 457,558.0,2222.0,500.0,500.0,V,V,41.94237100481233,-6.309860135280038
458,Almacen 458,0.0,6.0,5.0,500.0,H,M,38.30491148400143,-4.61624704229676
459,Almacen 459,2.0,0.0,500.0,500.0,M,V,41.41164137259377,-2.94935031097162
460,Almacen 460,0.0,3000.0,500.0,500.0,V,M,38.5209894821055,-6.4789916048356755
461,Almacen 461,78.0,86.0,500.0,31.0,H,H,38.6827465818329,-1.6981740602630122
462,Almacen 462,0.0,119.0,69.0,500.0,H,M,42.73476053207236,3.9872757332993345
463,Almacen 463,9.0,327.0,21.0,86.0,H,V,42.79798006560069,-7.137076739556552
464,Almacen 464,0.0,5.0,4.0,500.0,H,M,38.907191938980844,-1.105143235281492
465,Almacen 465,14.0,215.0,144.0,23.0,H,V,42.57866974968675,-1.6165817233707669
466,Almacen 466,0.0,0.0,500.0,500.0,M,M,39.37570886956033,-4.458577601013754
467,Almacen 467,5.0,14.0,12.0,6.0,H,H,43.30693911946888,-2.5342795445831756
468,Almacen 468,0.0,0.0,500.0,500.0,M,M,41.565418046281216,-0.007913895546666438
469,Almacen 469,1.0,6.0,500.0,5.0,H,V,38.15392866920763,-6.334683063549713
470,Almacen 470,36.0,40.0,500.0,7.0,H,H,38.1382133320204,-7.05620854190073
471,Almacen 471,2158.0,6476.0,122.0,63.0,H,V,42.9360128626854,-0.2866944992806406
472,Almacen 472,12.0,2222.0,8.0,17.0,V,V,39.60740909896734,1.2442704568335063
473,Almacen 473,0.0,82.0,64.0,500.0,H,M,43.1982129538166,1.243236164700951
474,Almacen 474,0.0,5000.0,202.0,210.0,V,M,43.09678526775451,-4.918622519591048
475,Almacen 475,0.0,10.0,9.0,500.0,H,M,39.262734231595246,-7.601094074371269
476,Almacen 476,414.0,649.0,86.0,183.0,H,H,41.617733422295586,-1.1240361493313777
477,Almacen 477,4.0,2222.0,2.0,4.0,V,V,39.418062176169954,-4.264290460003158
478,Almacen 478,74.0,2222.0,100.0,122.0,V,V,38.3405394695779,3.2561036346657044
479,Almacen 479,-2.0,1500.0,817.0,836.0,V,V,39.1859323841801,2.6129530441801077
480,Almacen 480,-2.0,500.0,115.0,167.0,V,V,38.401058143717535,-1.3775731698747329
481,Almacen 481,678.0,1421.0,68.0,243.0,H,V,40.2777020934444,-6.051343072614262
482,Almacen 482,1.0,0.0,500.0,500.0,M,V,39.2157659705679,-9.220669071430597
483,Almacen 483,0.0,0.0,500.0,500.0,M,M,42.143907845051395,0.3605365462102732
484,Almacen 484,44.0,49.0,500.0,11.0,H,H,39.190021568365104,-2.5142425114603997
485,Almacen 485,0.0,0.0,500.0,500.0,M,M,39.957647714652644,-2.8511636966732317
486,Almacen 486,0.0,0.0,500.0,500.0,M,M,41.84498061923842,0.8367404359611896
487,Almacen 487,0.0,0.0,500.0,500.0,M,M,36.268708571534226,-4.036800987142456
488,Almacen 488,8.0,0.0,500.0,500.0,M,V,38.424673511889075,-5.142307555918602
489,Almacen 489,0.0,504.0,242.0,500.0,H,M,39.54953397209323,-8.860832854165208
490,Almacen 490,3.0,4.0,500.0,3.0,H,H,38.681254413493505,-5.942454838426915
491,Almacen 491,1.0,0.0,500.0,500.0,M,V,36.48239954973916,-8.194607780363128
492,Almacen 492,6.0,7.0,500.0,2.0,H,H,41.32589814976814,0.49228283860203703
493,Almacen 493,2.0,0.0,500.0,500.0,M,V,42.74749267499968,-0.36106765557914144
494,Almacen 494,695.0,2222.0,224.0,229.0,V,V,41.430832809061634,-5.994452584741748
495,Almacen 495,283.0,2222.0,500.0,3.0,V,V,38.87610268494634,-6.786129656645171
496,Almacen 496,83.0,2222.0,11.0,18.0,V,V,38.88803245730695,2.790851431961274
497,Almacen 497,197.0,2222.0,56.0,98.0,V,V,36.486277954623155,-4.875782217097035
498,Almacen 498,245.0,2222.0,500.0,500.0,V,V,42.70871709645124,2.1146559393081557
499,Almacen 499,7.0,8.0,500.0,7.0,H,H,42.21043316232932,-3.9093292135696274
500,Almacen 500,1.0,2.0,500.0,1.0,H,H,36.5802954659595,3.4581101261771767
501,Almacen 501,0.0,0.0,500.0,500.0,M,M,38.24765825089374,0.328110511185173
502,Almacen 502,183.0,202.0,500.0,120.0,H,H,37.88738239257291,2.097540725419641
503,Almacen 503,0.0,0.0,500.0,500.0,M,M,40.048411976821605,3.672455160929889
504,Almacen 504,753.0,2222.0,72.0,168.0,V,V,36.44742655514752,0.6592717862303328
505,Almacen 505,449.0,2222.0,49.0,135.0,V,V,37.09271755512323,-0.18880476375976762
506,Almacen 506,2.0,3.0,500.0,1.0,H,H,38.700420712040255,-8.982389433845263
507,Almacen 507,-36.0,366.0,38.0,33.0,H,V,39.51517455492106,-8.252749619423437
508,Almacen 508,2.0,3.0,500.0,2.0,H,H,38.88780228732286,0.9578615426177723
509,Almacen 509,0.0,0.0,500.0,500.0,M,M,42.344495963756025,-4.494807750320793
510,Almacen 510,2.0,2000.0,500.0,500.0,V,V,36.647695870507185,3.180542000212295
511,Almacen 511,0.0,0.0,500.0,500.0,M,M,43.16153117390016,3.1528301091502673
512,Almacen 512,0.0,0.0,500.0,500.0,M,M,41.28333496360377,0.3615196690446787
513,Almacen 513,1.0,2.0,500.0,1.0,H,H,41.47177001717385,-6.380103430107033
514,Almacen 514,0.0,0.0,500.0,500.0,M,M,36.02958206335992,-1.8536970488489732
515,Almacen 515,0.0,0.0,500.0,500.0,M,M,42.61129209657728,3.7824502781539344
516,Almacen 516,0.0,0.0,500.0,500.0,M,M,37.830028479390315,-7.673708942786305
517,Almacen 517,0.0,0.0,500.0,500.0,M,M,39.02604070676523,-8.418354813002663
518,Almacen 518,0.0,387.0,217.0,500.0,H,M,42.615708648534905,-2.5625957931209156
519,Almacen 519,329.0,3144.0,156.0,297.0,H,V,39.2597843828436,-2.578698510737418
520,Almacen 520,0.0,10.0,8.0,500.0,H,M,36.684505931648935,-6.476065942679593
521,Almacen 521,0.0,4.0,2.0,500.0,H,M,39.56329985632595,0.9433589514612226
522,Almacen 522,215.0,237.0,500.0,53.0,H,H,37.88608534584651,-2.9297581296198265
523,Almacen 523,0.0,0.0,500.0,500.0,M,M,38.70586983331893,-4.568627311397755
524,Almacen 524,101.0,2222.0,8.0,500.0,V,V,37.798038122907336,-2.7331734452218353
525,Almacen 525,0.0,0.0,500.0,500.0,M,M,42.150676963822434,-6.78388659090589
526,Almacen 526,0.0,0.0,500.0,500.0,M,M,41.717304915590674,-2.2884133217330715
527,Almacen 527,0.0,115.0,96.0,500.0,H,M,42.98260425660634,1.6710362641255951
528,Almacen 528,7.0,8.0,500.0,2.0,H,H,39.06431569453647,-8.36532289450605
529,Almacen 529,252.0,278.0,500.0,108.0,H,H,43.16034063012134,-8.903491957982691
530,Almacen 530,0.0,0.0,500.0,500.0,M,M,42.69928379953402,2.801914629348712
531,Almacen 531,0.0,0.0,500.0,500.0,M,M,36.91605002217449,-5.253176730981976
532,Almacen 532,0.0,0.0,500.0,500.0,M,M,42.13036312955696,2.9322535133666214
533,Almacen 533,0.0,0.0,500.0,500.0,M,M,37.832849806803246,-4.523512488457417
534,Almacen 534,1.0,5000.0,48.0,500.0,V,V,40.23234945161664,3.8717031602297443
535,Almacen 535,263.0,290.0,500.0,51.0,H,H,41.09310747136615,3.6492637700170665
536,Almacen 536,0.0,0.0,500.0,500.0,M,M,41.57205499981733,-6.241604685368141
537,Almacen 537,1.0,2.0,500.0,1.0,H,H,43.38698931935446,0.18549347350024803
538,Almacen 538,0.0,0.0,500.0,500.0,M,M,38.69481572480616,-5.230537224927458
539,Almacen 539,1.0,2222.0,29.0,16.0,V,V,41.737591250612304,-6.67248543104693
540,Almacen 540,0.0,0.0,500.0,500.0,M,M,37.94446519374307,-3.4465762353581484
541,Almacen 541,540.0,594.0,500.0,88.0,H,H,38.1656312954992,1.0937876579886137
542,Almacen 542,0.0,0.0,500.0,500.0,M,M,37.98744069422811,-4.163357261331861
543,Almacen 543,148.0,163.0,500.0,84.0,H,H,38.74019714434398,1.5754383882730298
544,Almacen 544,0.0,0.0,500.0,500.0,M,M,41.413916263266806,-8.641693814104357
545,Almacen 545,0.0,0.0,500.0,500.0,M,M,43.370593531326506,3.93274354737299
546,Almacen 546,402.0,443.0,500.0,100.0,H,H,38.60464995531915,2.2626944530835704
547,Almacen 547,0.0,0.0,500.0,500.0,M,M,38.658904310438594,-3.377291861016122
548,Almacen 548,0.0,0.0,500.0,500.0,M,M,36.28342174011452,-0.17996668494590118
549,Almacen 549,2060.0,2266.0,500.0,66.0,H,H,40.457941318931766,4.1970413756643925
550,Almacen 550,0.0,450.0,55.0,500.0,H,M,36.934101818117455,-3.850498191254996
551,Almacen 551,0.0,30436.0,3102.0,500.0,H,M,36.23581498129135,2.9922906110032006
552,Almacen 552,3.0,4.0,500.0,2.0,H,H,36.3876450791003,-4.85944792845532
553,Almacen 553,0.0,3957.0,1812.0,500.0,H,M,36.54937110482282,0.11765472096822371
554,Almacen 554,281.0,310.0,500.0,66.0,H,H,42.905306827556586,3.2727191022918714
555,Almacen 555,209.0,420.0,1.0,337.0,V,V,38.16746004868347,2.2259712234439544
556,Almacen 556,0.0,3000.0,500.0,500.0,V,M,41.54196149821385,4.02337147317502
557,Almacen 557,0.0,2.0,1.0,500.0,H,M,36.40231127713269,-4.361771993658131
558,Almacen 558,305.0,336.0,500.0,64.0,H,H,39.52154076035783,2.9338500139599333
559,Almacen 559,0.0,0.0,500.0,500.0,M,M,41.22501822340019,-3.601644931119142
560,Almacen 560,3.0,4.0,500.0,1.0,H,H,38.16537640526493,-4.651717019790423
561,Almacen 561,135.0,149.0,500.0,24.0,H,H,43.686157976228635,-9.057322158390365
562,Almacen 562,0.0,0.0,500.0,500.0,M,M,36.598268235444806,-8.034085465027475
563,Almacen 563,0.0,0.0,500.0,500.0,M,M,43.65959344702321,-6.254432637201415
564,Almacen 564,0.0,21806.0,2654.0,500.0,H,M,37.82135079231999,-1.2246531665700804
565,Almacen 565,0.0,189.0,143.0,500.0,H,M,38.3367988571052,-3.21873857547791
566,Almacen 566,6.0,8.0,1.0,1.0,H,H,38.70888232440542,-6.662852978397451
567,Almacen 567,0.0,0.0,500.0,500.0,M,M,37.92102924581967,-1.0475264604314436
568,Almacen 568,0.0,3000.0,500.0,500.0,V,M,36.368821048313926,-4.341035069359406
569,Almacen 569,1.0,2.0,500.0,1.0,H,H,41.543178485246735,-0.5722078710690557
570,Almacen 570,0.0,0.0,500.0,500.0,M,M,43.242952897052916,-6.123086765909318
571,Almacen 571,11864.0,13051.0,500.0,207.0,H,H,36.658270810946064,-1.6860981826482497
572,Almacen 572,0.0,0.0,500.0,500.0,M,M,43.115695835641475,-9.231339178999907
573,Almacen 573,2895.0,3185.0,500.0,96.0,H,H,37.06690678328235,2.1767246904271946
574,Almacen 574,4732.0,5206.0,500.0,130.0,H,H,39.89973790394774,-6.126123574652119
575,Almacen 575,0.0,2000.0,500.0,500.0,V,M,39.90246303723227,-5.125064650619099
576,Almacen 576,0.0,0.0,500.0,500.0,M,M,42.067083266493626,-7.563032495506955
577,Almacen 577,430.0,644.0,66.0,48.0,H,H,38.191112647598665,1.6243051281432201
578,Almacen 578,44.0,49.0,500.0,31.0,H,H,42.29793604281129,-4.235158532335529
579,Almacen 579,0.0,230.0,209.0,500.0,H,M,39.3871283947896,-8.440569795503393
580,Almacen 580,458.0,2000.0,86.0,500.0,V,V,38.01624418207077,-4.628622541413533
581,Almacen 581,0.0,4255.0,3861.0,500.0,H,M,39.28483644076165,-6.195713804037781
582,Almacen 582,1.0,2.0,500.0,1.0,H,H,37.58994612037003,-2.2654870543107286
583,Almacen 583,284.0,3500.0,9.0,14.0,V,V,42.123973190981886,-2.626989629786796
584,Almacen 584,0.0,140.0,87.0,500.0,H,M,41.82052778941456,-7.255572550959787
585,Almacen 585,0.0,0.0,500.0,500.0,M,M,38.35640425390456,4.109563553372734
586,Almacen 586,9.0,10.0,500.0,6.0,H,H,41.60173085842413,-7.524414671477528
587,Almacen 587,33.0,37.0,500.0,14.0,H,H,38.53070579068786,-5.389710202515094
588,Almacen 588,649.0,714.0,500.0,18.0,H,H,38.311661854889856,1.9762416531382314
589,Almacen 589,1411.0,2500.0,500.0,96.0,V,H,41.87783851494406,3.406410328288759
590,Almacen 590,0.0,2500.0,500.0,500.0,V,M,37.870058981312745,-6.40818682091745
591,Almacen 591,53.0,197.0,500.0,7.0,H,V,43.62287890846111,-5.512511829990527
592,Almacen 592,953.0,1049.0,500.0,26.0,H,H,42.09737051981,3.2674739805565522
593,Almacen 593,32262.0,35489.0,500.0,304.0,H,H,41.250337580218506,1.9966308018687187
594,Almacen 594,0.0,2000.0,500.0,500.0,V,M,39.50907549102793,-0.2854974820582825
595,Almacen 595,46515.0,51167.0,11.0,505.0,H,H,42.17284606277478,3.1547756075577844
596,Almacen 596,0.0,2000.0,500.0,500.0,V,M,39.48960076787346,-3.325299528566201
597,Almacen 597,320.0,352.0,500.0,14.0,H,H,38.35572231872644,-7.35067675098414
